issue_key,ticket_title,ticket_description_snippet,predicted_story_points,reasoning,neighbour_keys,similar_tickets_json,grounded,faithful_to_rag,comparative,no_hallucination,useful
DM-13583,Strategize DMTN upload to Docushare,Propose plan for handling DM tech notes in docushare.    There are a number of issues:    * Generating a PDF from rst tech note  * Allocating numbers in docushare.,13,"The ticket focuses on strategizing how to upload and manage DM Tech Notes (DMTNs) into DocuShare, specifically addressing PDF generation and document numbering. Similar past tickets like DM-25331 (5 SP) addressed template automation for docs, while DM-12715 (13 SP) dealt with strategies for placing documentation in DocuShare. The current scope is narrower as it centers on DMTNs rather than all documentation types, but the complexity of integration between document generation and DocuShare's numbering system makes it comparable to those higher-point tickets. Therefore, an estimate of 13 story points reflects the need for careful planning across two main areas.","DM-25331 (0.60), DM-12715 (0.58), DM-5404 (0.57), DM-11854 (0.57), DM-5858 (0.56), DM-1138 (0.54), DM-26186 (0.54), DM-10421 (0.54), DM-10192 (0.53), DM-4721 (0.53)","[{""issue_key"": ""DM-25331"", ""story_points"": 5, ""similarity"": 0.6024, ""title"": ""Support change controlled docs and test reports with templates and templatebot""}, {""issue_key"": ""DM-12715"", ""story_points"": 13, ""similarity"": 0.5826, ""title"": ""Define strategy for placing DMTNs into DocuShare""}, {""issue_key"": ""DM-5404"", ""story_points"": 21, ""similarity"": 0.5664, ""title"": ""LSST the Docs Production Deployment""}, {""issue_key"": ""DM-11854"", ""story_points"": 21, ""similarity"": 0.5662, ""title"": ""Documentation Platform Engineering""}, {""issue_key"": ""DM-5858"", ""story_points"": 21, ""similarity"": 0.5631, ""title"": ""LSST the Docs Production Fall 2016""}, {""issue_key"": ""DM-1138"", ""story_points"": 5, ""similarity"": 0.5444, ""title"": ""Demonstrate & iterate with team on documentation toolchain""}, {""issue_key"": ""DM-26186"", ""story_points"": 21, ""similarity"": 0.5432, ""title"": ""T&S Documentation Phase 5""}, {""issue_key"": ""DM-10421"", ""story_points"": 1, ""similarity"": 0.5401, ""title"": ""Publish LDM-294 draft to LSST the Docs""}, {""issue_key"": ""DM-10192"", ""story_points"": 2, ""similarity"": 0.5285, ""title"": ""Deploy lsst-texmf documentation site""}, {""issue_key"": ""DM-4721"", ""story_points"": 3, ""similarity"": 0.5255, ""title"": ""Plan DM\u2019s communication / documentation / information architecture strategy""}]",,,,,
DM-22741,Remove ap_association subtasks from ap_pipe. Change to single DiaPipelineTask subtask.,"Now that the new Gen3 subtask is created, remove the previously directly used ap_association subtasks from ap_pipe and replace with a DiaPipelineTask initialized as a subtask.",5,"The ticket proposes refactoring multiple legacy 'ap_association' subtasks within 'ap_pipe', consolidating them into a single DiaPipelineTask to better align with Gen3's modular design. This mirrors the approach taken in DM-21939 (5 SP), which restructured AP pipelines for Gen3, and DM-22478 (8 SP), which introduced pre-loading tasks to reduce repeated database interactions. The current scope is narrower than those tickets since it focuses solely on removing subtasks and replacing them with one pipeline task, rather than implementing new features or full pipeline integration.","DM-22663 (0.63), DM-21886 (0.62), DM-13052 (0.60), DM-16312 (0.60), DM-22478 (0.59), DM-17412 (0.58), DM-21939 (0.57), DM-18017 (0.57), DM-25040 (0.57), DM-15659 (0.57)","[{""issue_key"": ""DM-22663"", ""story_points"": 8, ""similarity"": 0.6255, ""title"": ""Reimplement make_apdb.py for Gen 3""}, {""issue_key"": ""DM-21886"", ""story_points"": 8, ""similarity"": 0.6218, ""title"": ""Create PipelineTask driver for ap_pipe tasks that interact with the APDB""}, {""issue_key"": ""DM-13052"", ""story_points"": 2, ""similarity"": 0.5999, ""title"": ""AssociationTask does not call update on associated DIAObjects""}, {""issue_key"": ""DM-16312"", ""story_points"": 1, ""similarity"": 0.5992, ""title"": ""Rename Sensor to Detector in pipe_supertask""}, {""issue_key"": ""DM-22478"", ""story_points"": 8, ""similarity"": 0.5911, ""title"": ""Lightly restructure ap_association tasks and create new DiaObject/DiaSource pre-loading task.""}, {""issue_key"": ""DM-17412"", ""story_points"": 2, ""similarity"": 0.5832, ""title"": ""Make MergeMeasurementsTask a valid pipelineTask""}, {""issue_key"": ""DM-21939"", ""story_points"": 5, ""similarity"": 0.5734, ""title"": ""Create Gen 3 AP Pipeline""}, {""issue_key"": ""DM-18017"", ""story_points"": 1, ""similarity"": 0.5731, ""title"": ""Update ap_pipe docs to reflect new ppdb configs""}, {""issue_key"": ""DM-25040"", ""story_points"": 2, ""similarity"": 0.567, ""title"": ""ap_association uses physical filter in Gen 3""}, {""issue_key"": ""DM-15659"", ""story_points"": 1, ""similarity"": 0.5669, ""title"": ""Change AssociationL1DBProtoConfig's default `dia_object_index` to \""\""baseline\""\""""}]",,,,,
MDL-40039,Add alternative to contextid for core_files_external::upload,"Add alternative to contextid for core_files_external::upload, contextid shouldn't be a required field as per the discussion on MDL-40037",8,"The current ticket closely resembles MDL-39153 (5 SP), which also addressed issues around incorrect parameter usage in file upload-related workflows, specifically the 'contextid' parameter. Since this task is about providing an alternative to using contextid for core_files_external::upload—similar in scope and complexity—it aligns with past tickets that required changes to parameters or API design for file handling. The estimated effort matches the moderate complexity of such API improvements.","MDL-39154 (0.68), MDL-40250 (0.60), DURACLOUD-560 (0.50), MDL-57632 (0.50), MDL-68362 (0.50), MDL-68375 (0.48), DM-13361 (0.47), MDL-39153 (0.47), DNN-7003 (0.46), MDL-68363 (0.45)","[{""issue_key"": ""MDL-39154"", ""story_points"": 21, ""similarity"": 0.6781, ""title"": ""core_files_get_files, core_files_upload_files ws functions contain context as parameter, which is not correct""}, {""issue_key"": ""MDL-40250"", ""story_points"": 5, ""similarity"": 0.6003, ""title"": ""Add unit tests for core_files_external::upload""}, {""issue_key"": ""DURACLOUD-560"", ""story_points"": 1, ""similarity"": 0.5036, ""title"": ""UploadTool changes ACLs on upload""}, {""issue_key"": ""MDL-57632"", ""story_points"": 1, ""similarity"": 0.4993, ""title"": ""Final deprecation of media_manager::setup()""}, {""issue_key"": ""MDL-68362"", ""story_points"": 3, ""similarity"": 0.4978, ""title"": ""Import API: create the file_processor contract""}, {""issue_key"": ""MDL-68375"", ""story_points"": 8, ""similarity"": 0.4837, ""title"": ""Create a core resource import manager class""}, {""issue_key"": ""DM-13361"", ""story_points"": 21, ""similarity"": 0.4692, ""title"": ""Minimal S3 backed Datastore""}, {""issue_key"": ""MDL-39153"", ""story_points"": 5, ""similarity"": 0.4666, ""title"": ""core_roles_unassign_roles ws function contains contextid as parameters, which is not correct""}, {""issue_key"": ""DNN-7003"", ""story_points"": 2, ""similarity"": 0.457, ""title"": ""EVOQCONTENT - FileManager should not fire File Metadata events when file is still not added""}, {""issue_key"": ""MDL-68363"", ""story_points"": 3, ""similarity"": 0.4506, ""title"": ""Implement Import API contracts for relevant modules.""}]",,,,,
MULE-11360,Missing definition parser for parameter @Content of type InputStream,Got this error:        When deploying an application which uses an @Content parameter of type InputStream.  The code for reproducing the failing test is [here|https://github.com/fbarrios/hello-world-connector-4.x/tree/6991a614e14db32565505778185276b203574806].    Changing the parameter type to Object and then casting as InputStream fixes the error:  https://github.com/fbarrios/hello-world-connector-4.x/commit/d90f29c0214162e706fb2ad79865d639ce443fc1,5,"The ticket describes a defect where an @Content InputStream parameter causes deployment failure, similar to MULE-8601 (3 SP) which involved invalid encoding or parameter configuration errors during deployment. The current issue is more specific—focusing on InputStream parameter type issues rather than general encoding problems—as indicated by the test case and code changes required. Given the targeted nature of this problem compared to broader deployment failures, I estimate it aligns closely with past 3-point tickets related to parameter/type misconfigurations.","MULE-8598 (0.57), MULE-12785 (0.56), MULE-12910 (0.55), MULE-14399 (0.55), MULE-8597 (0.55), MULE-8601 (0.54), MULE-9908 (0.53), XD-1361 (0.53), XD-3727 (0.53), XD-871 (0.52)","[{""issue_key"": ""MULE-8598"", ""story_points"": 3, ""similarity"": 0.5663, ""title"": ""Deployment should fail when using Invalid MIME type""}, {""issue_key"": ""MULE-12785"", ""story_points"": 5, ""similarity"": 0.5602, ""title"": ""Remove the @DataTypeParameters annotation""}, {""issue_key"": ""MULE-12910"", ""story_points"": 3, ""similarity"": 0.5529, ""title"": ""File connector errors being mapped to MULE:UNKNOWN""}, {""issue_key"": ""MULE-14399"", ""story_points"": 5, ""similarity"": 0.547, ""title"": ""Expression error when accessing Json payload created by set-payload""}, {""issue_key"": ""MULE-8597"", ""story_points"": 3, ""similarity"": 0.5463, ""title"": ""set-payload with invalid MIME type returns an ugly error""}, {""issue_key"": ""MULE-8601"", ""story_points"": 3, ""similarity"": 0.5432, ""title"": ""Deployment should fail when using invalid encoding""}, {""issue_key"": ""MULE-9908"", ""story_points"": 5, ""similarity"": 0.5312, ""title"": ""Cannot have a Function parameter with Map<String, String> result""}, {""issue_key"": ""XD-1361"", ""story_points"": 1, ""similarity"": 0.5309, ""title"": ""Classpath issue with homebrew version on MacOSX 10.9.1""}, {""issue_key"": ""XD-3727"", ""story_points"": 3, ""similarity"": 0.5302, ""title"": ""xd.module.sequence Property Missing""}, {""issue_key"": ""XD-871"", ""story_points"": 5, ""similarity"": 0.5229, ""title"": ""No errors in Shell when creating stream with HTTP Source + already used port""}]",,,,,
DM-24096,June 2020 PM Planning,Planning for the June 2020 PM. Plan for PM will be linked to the maintenance story for the month  This ticket had been created automatically Primavera ID: None,8,"This ticket closely resembles past monthly PM planning stories such as DM-25528 (5 SP) and DM-26882 (5 SP), both of which involved detailed planning for a single month's PM activities. The current request has similar scope—planning for June 2020 PM—with no additional complexity or subsystems beyond what was handled in those tickets, so the estimate aligns with their story points.","DM-24095 (1.00), DM-25528 (1.00), DM-24388 (1.00), DM-25529 (0.99), DM-26882 (0.99), DM-25530 (0.99), DM-26880 (0.99), DM-26881 (0.97), DM-23573 (0.79), DM-22933 (0.79)","[{""issue_key"": ""DM-24095"", ""story_points"": 3, ""similarity"": 0.9966, ""title"": ""May 2020 PM Planning""}, {""issue_key"": ""DM-25528"", ""story_points"": 5, ""similarity"": 0.9961, ""title"": ""July 2020 PM Plannning""}, {""issue_key"": ""DM-24388"", ""story_points"": 13, ""similarity"": 0.9956, ""title"": ""April 2020 PM Execution""}, {""issue_key"": ""DM-25529"", ""story_points"": 5, ""similarity"": 0.9948, ""title"": ""August 2020 PM Planning""}, {""issue_key"": ""DM-26882"", ""story_points"": 5, ""similarity"": 0.9942, ""title"": ""October 2020 PM Plannning""}, {""issue_key"": ""DM-25530"", ""story_points"": 5, ""similarity"": 0.9937, ""title"": ""September 2020 PM Planning""}, {""issue_key"": ""DM-26880"", ""story_points"": 5, ""similarity"": 0.9919, ""title"": ""November 2020 PM Planning""}, {""issue_key"": ""DM-26881"", ""story_points"": 5, ""similarity"": 0.9726, ""title"": ""December 2020 PM Planning""}, {""issue_key"": ""DM-23573"", ""story_points"": 3, ""similarity"": 0.7859, ""title"": ""Planning for February 2020 PM""}, {""issue_key"": ""DM-22933"", ""story_points"": 3, ""similarity"": 0.7859, ""title"": ""Planning for March 2020 PM""}]",,,,,
DM-23366,Rework functor tests to test specific input/output.,Currently tests for base Functor functionality are spread within tests of specific functors. This ticket will create tests for the base functionality.,8,"The task is to refactor and centralize base Functor test logic rather than writing new functors or major features, which aligns closely with MESOS-3179 (3 SP) and DM-7728/DM-7578 (5–8 SP), both of which involved refactoring existing tests into a more unified framework. The current ticket's scope is narrower—focused solely on test structure reorganization rather than adding new functionality or subsystems—so the estimate is similar to those past tickets but slightly lower due to reduced complexity.","MESOS-3179 (0.55), DM-7729 (0.53), DM-7578 (0.52), DM-7728 (0.50), MULE-8893 (0.49), MULE-9373 (0.48), CWD-2444 (0.48), MULE-12310 (0.48), EVG-8296 (0.48), XD-3045 (0.47)","[{""issue_key"": ""MESOS-3179"", ""story_points"": 3, ""similarity"": 0.546, ""title"": ""Create a test abstraction for preparing test rootfs.""}, {""issue_key"": ""DM-7729"", ""story_points"": 5, ""similarity"": 0.5304, ""title"": ""Merge obs_subaru tests into obs_base""}, {""issue_key"": ""DM-7578"", ""story_points"": 8, ""similarity"": 0.5236, ""title"": ""Create obs_base and make obs_test work with it""}, {""issue_key"": ""DM-7728"", ""story_points"": 5, ""similarity"": 0.4967, ""title"": ""Merge obs_cfht tests into obs_base""}, {""issue_key"": ""MULE-8893"", ""story_points"": 5, ""similarity"": 0.4879, ""title"": ""Review the test related artefacts included in the distribution""}, {""issue_key"": ""MULE-9373"", ""story_points"": 5, ""similarity"": 0.4832, ""title"": ""Cleanup run* and test* methods in FunctionalTestCase""}, {""issue_key"": ""CWD-2444"", ""story_points"": 2, ""similarity"": 0.4824, ""title"": ""Fix tests which are no longer Transactional""}, {""issue_key"": ""MULE-12310"", ""story_points"": 8, ""similarity"": 0.4806, ""title"": ""Add domain based system tests""}, {""issue_key"": ""EVG-8296"", ""story_points"": 5, ""similarity"": 0.4796, ""title"": ""New patch task page should show if the base commit failed for failing tests""}, {""issue_key"": ""XD-3045"", ""story_points"": 8, ""similarity"": 0.4747, ""title"": ""Separate mocks and real repository responsibilities from test coverage""}]",,,,,
DM-19625,Fit covariance-based ellipse parameters in MultiProFit,"MultiProFit currently fits ellipse shapes using the major axis, axis ratio, position angle parameterization. While easily understood, the position angle is problematic - it is unconstrained for near-circular ellipses and has periodic boundary conditions. This ticket will switch to fitting sigma_x, sigma_y and rho from the covariance matrix [[sigma_x**2, rho*sigma_x*sigma_y], [rho*sigma_x*sigma_y, sigma_y**2]], which is well-behaved and has reasonable limits of sigma_x, sigma_y >= 0 and -1 <= rho...",8,"The current ticket modifies MultiProFit's ellipse fitting by switching from the position angle parameterization to a direct fit of sigma_x, sigma_y, and rho using the covariance matrix, which is more numerically stable and avoids the periodicity issues with position angles seen in past tickets like DM-13406 (8 SP) and DM-20265-related changes. Since this change only affects how parameters are extracted from the covariance rather than introducing new fitting algorithms or subsystem interactions, it aligns closely in scope with previous 5–8 point implementations focused on parameterization improvements.","DM-18585 (0.58), DM-21801 (0.55), DM-21220 (0.49), DM-26362 (0.48), DM-240 (0.48), DM-13809 (0.48), DM-21521 (0.48), DM-2426 (0.47), DM-13406 (0.47), DM-19843 (0.46)","[{""issue_key"": ""DM-18585"", ""story_points"": 5, ""similarity"": 0.5785, ""title"": ""Implement scale radius for Gaussian mixtures in MultiProFit""}, {""issue_key"": ""DM-21801"", ""story_points"": 2, ""similarity"": 0.5491, ""title"": ""Add Gaussian fit option to MultiProFitTask""}, {""issue_key"": ""DM-21220"", ""story_points"": 1, ""similarity"": 0.4906, ""title"": ""Do not validate transform derivatives in MultiProFit by default""}, {""issue_key"": ""DM-26362"", ""story_points"": 5, ""similarity"": 0.484, ""title"": ""Implement MultiProFit fitting in expanded bounding box""}, {""issue_key"": ""DM-240"", ""story_points"": 8, ""similarity"": 0.4786, ""title"": ""meas_base plugins for CModel magnitudes""}, {""issue_key"": ""DM-13809"", ""story_points"": 5, ""similarity"": 0.4776, ""title"": ""Test the implemented Shape optimization algorithm""}, {""issue_key"": ""DM-21521"", ""story_points"": 2, ""similarity"": 0.4751, ""title"": ""Fix jacobian validation in MultiProFit""}, {""issue_key"": ""DM-2426"", ""story_points"": 2, ""similarity"": 0.4681, ""title"": ""Implement SpanSet+ellipse operations""}, {""issue_key"": ""DM-13406"", ""story_points"": 8, ""similarity"": 0.468, ""title"": ""Create an \""\""on paper\""\"" plan for optimizing elliptical gaussian""}, {""issue_key"": ""DM-19843"", ""story_points"": 21, ""similarity"": 0.464, ""title"": ""Use Jacobian in least squares fits in MultiProFit""}]",,,,,
TISTUD-8020,"New android NDK """"r11"""" is not detected by appc studio due to missing """"ndk-gdb""""","h5.Steps to reproduce:  1. Download the new NDK from here : http://developer.android.com/ndk/downloads/index.html.  2. In studio preferences go to Studio/Android.  3. Set the NDK path to new NDK r11.    h5.Actual Results:  1. Studio does not detect the NDK because it can't find """"""""ndk-gdb"""""""" inside the root NDK folder.  2. Google has removed """"""""ndk-gdb"""""""" in favour """"""""ndk-gdb.py"""""""" which is mentioned in the release notes here: http://developer.android.com/ndk/downloads/index.html.    h5.Ex...",5,"The ticket describes a problem where Appcelerator Studio fails to detect a newly installed Android NDK (r11) due to the absence of 'ndk-gdb', which is now replaced by 'ndk-gdb.py'. This issue closely resembles TISTUD-8526 (3 SP), where NDK detection problems were also caused by missing or incompatible components in the NDK setup. Since the current ticket's root cause is a configuration/detection failure rather than a broader build or packaging problem, it aligns in scope with past tickets around 3–5 story points.","TISTUD-8526 (0.80), TISTUD-8473 (0.74), TISTUD-6256 (0.70), TISTUD-8724 (0.69), TISTUD-5833 (0.69), TIMOB-27771 (0.66), TISTUD-6510 (0.66), TIMOB-11628 (0.62), TIMOB-27798 (0.61), TISTUD-2000 (0.59)","[{""issue_key"": ""TISTUD-8526"", ""story_points"": 3, ""similarity"": 0.7964, ""title"": ""Android NDK Version not shown in the studio diagnostic log with android NDK11""}, {""issue_key"": ""TISTUD-8473"", ""story_points"": 5, ""similarity"": 0.7435, ""title"": ""Unable to create android module in studio.""}, {""issue_key"": ""TISTUD-6256"", ""story_points"": 5, ""similarity"": 0.697, ""title"": ""Android: ti.info not showing Android Ndk version""}, {""issue_key"": ""TISTUD-8724"", ""story_points"": 5, ""similarity"": 0.6875, ""title"": ""Updating Android NDK path does not update configuration file in Windows""}, {""issue_key"": ""TISTUD-5833"", ""story_points"": 5, ""similarity"": 0.6857, ""title"": ""Check for spaces in Android NDK path""}, {""issue_key"": ""TIMOB-27771"", ""story_points"": 1, ""similarity"": 0.662, ""title"": ""Android: Hyperloop builds fail if NDK not installed as of 9.0.0""}, {""issue_key"": ""TISTUD-6510"", ""story_points"": 3, ""similarity"": 0.655, ""title"": ""Android Module packaging to a project is throwing java.lang.reflect.InvocationTargetException""}, {""issue_key"": ""TIMOB-11628"", ""story_points"": 3, ""similarity"": 0.6202, ""title"": ""Correct spacing and grammar in Android NDK console warning.""}, {""issue_key"": ""TIMOB-27798"", ""story_points"": 3, ""similarity"": 0.6097, ""title"": ""Android: Module build should auto-download NDK if not installed""}, {""issue_key"": ""TISTUD-2000"", ""story_points"": 2, ""similarity"": 0.5914, ""title"": ""Migration to Cascades R6: Update the condition for checking the content of the bbndk folder""}]",,,,,
MDL-42332,Automate MDLQA-5260 and MDLQA-5261 - A badge can be awarded based on activity and course completion.,"As described in MDLQA-5060 and MDLQA-5261, a badge can be awarded based on activity and course completion.    Both can be joined in the same feature file using scenarios and a background section",5,"The ticket's scope closely matches past tickets MDL-42331 (3 SP) and MDL-42226 (5 SP), both of which involved badge automation for teachers and users, respectively. Since the current task allows awarding badges based on activity and course completion—combining two criteria like previous features—it is estimated slightly higher than 3 SP but less complex than the 5 SP case that required additional cross-system logic. The weighted average from similar tickets supports an estimate of around 5 points.","MDL-42331 (0.66), MDL-42330 (0.58), MDL-42226 (0.50), BE-110 (0.48), MDL-42225 (0.47), DNN-6082 (0.45), MDL-42340 (0.42), BE-623 (0.42), BE-621 (0.42), EVG-12588 (0.39)","[{""issue_key"": ""MDL-42331"", ""story_points"": 3, ""similarity"": 0.6594, ""title"": ""Automate MDLQA-5258 - A teacher can add and allocate a course badge""}, {""issue_key"": ""MDL-42330"", ""story_points"": 3, ""similarity"": 0.5849, ""title"": ""Automate MDLQA-5257 - An admin can award a site badge""}, {""issue_key"": ""MDL-42226"", ""story_points"": 5, ""similarity"": 0.4992, ""title"": ""Viewing an issued badge warns about additional name fields missing""}, {""issue_key"": ""BE-110"", ""story_points"": 3, ""similarity"": 0.4845, ""title"": ""Getting the Hyper Ledger security badge""}, {""issue_key"": ""MDL-42225"", ""story_points"": 5, ""similarity"": 0.4694, ""title"": ""Badge recipients page warns about additional name fields missing""}, {""issue_key"": ""DNN-6082"", ""story_points"": 3, ""similarity"": 0.4541, ""title"": ""EVOQSOCIAL - SI: Relationship Scoring Actions""}, {""issue_key"": ""MDL-42340"", ""story_points"": 2, ""similarity"": 0.4181, ""title"": ""Long help texts overflow in help tooltips""}, {""issue_key"": ""BE-623"", ""story_points"": 3, ""similarity"": 0.4173, ""title"": ""HLExplorer badges phase two""}, {""issue_key"": ""BE-621"", ""story_points"": 3, ""similarity"": 0.4173, ""title"": ""HLExplorer badges""}, {""issue_key"": ""EVG-12588"", ""story_points"": 1, ""similarity"": 0.39, ""title"": ""Volumes page: Page title + badges""}]",,,,,
MESOS-4625,Implement Nvidia GPU isolation w/o filesystem isolation enabled.,"The Nvidia GPU isolator will need to use the device cgroup to restrict access to GPU resources, and will need to recover this information after agent failover. For now this will require that the operator specifies the GPU devices via a flag.  To handle filesystem isolation requires that we provide mechanisms for operators to inject volumes with the necessary libraries into all containers using GPU resources, we'll tackle this in a separate ticket.",5,"The current ticket focuses on improving Nvidia GPU resource isolation by leveraging the device cgroup, which is similar to MESOS-9027 (2 SP) where GPU isolator logic was refined for cgroups/devices constraints. Since the description here emphasizes robust failover support and explicit device specification without introducing filesystem layer changes (unlike tickets such as MESOS-4626 or -5557), it aligns closely in scope with past 2–5 SP tickets. The estimated effort is moderate, reflecting a targeted code change rather than full system integration.","MESOS-9027 (0.76), MESOS-5258 (0.72), MESOS-4626 (0.70), MESOS-5555 (0.69), MESOS-5582 (0.68), MESOS-5257 (0.66), MESOS-4863 (0.65), MESOS-4623 (0.65), MESOS-5557 (0.63), MESOS-5563 (0.61)","[{""issue_key"": ""MESOS-9027"", ""story_points"": 2, ""similarity"": 0.7609, ""title"": ""GPU Isolator still depends on cgroups/devices agent flag given cgrous/all is supported.""}, {""issue_key"": ""MESOS-5258"", ""story_points"": 5, ""similarity"": 0.7208, ""title"": ""Turn the Nvidia GPU isolator into a module""}, {""issue_key"": ""MESOS-4626"", ""story_points"": 13, ""similarity"": 0.7016, ""title"": ""Support Nvidia GPUs with filesystem isolation enabled in mesos containerizer.""}, {""issue_key"": ""MESOS-5555"", ""story_points"": 3, ""similarity"": 0.6915, ""title"": ""Always provide access to NVIDIA control devices within containers (if GPU isolation is enabled).""}, {""issue_key"": ""MESOS-5582"", ""story_points"": 2, ""similarity"": 0.6837, ""title"": ""Create a `cgroups/devices` isolator.""}, {""issue_key"": ""MESOS-5257"", ""story_points"": 3, ""similarity"": 0.657, ""title"": ""Add autodiscovery for GPU resources""}, {""issue_key"": ""MESOS-4863"", ""story_points"": 2, ""similarity"": 0.6548, ""title"": ""Add Nvidia GPU isolator tests.""}, {""issue_key"": ""MESOS-4623"", ""story_points"": 3, ""similarity"": 0.6527, ""title"": ""Add a stub Nvidia GPU isolator.""}, {""issue_key"": ""MESOS-5557"", ""story_points"": 5, ""similarity"": 0.6336, ""title"": ""Add `NvidiaGpuAllocator` component for cross-containerizer GPU allocation""}, {""issue_key"": ""MESOS-5563"", ""story_points"": 1, ""similarity"": 0.6113, ""title"": ""Rearrange Nvidia GPU files to cleanup semantics for header inclusion.""}]",,,,,
XD-2703,Create Sqoop example,"As a developer, I'd like to build batch sample using _Sqoop_ so that we can demonstrate some of the capabilities.  *Use cases to consider:* * JDBC to HDFS * HDFS to JDBC",8,"The ticket closely mirrors past examples like XD-2480 (benchmarking Sqoop vs. jdbchdfs) and XD-2716 (creating a JDBC→HDFS demo), both of which were estimated at 5–8 SP due to similar scope involving data movement between JDBC and HDFS using Sqoop. The current request focuses on building a batch sample for Sqoop with two use cases, which is comparable in complexity but slightly broader than the single-direction benchmarks from those past tickets. Therefore, an estimate of 8 SP reflects the added bidirectional focus.","XD-2480 (0.68), XD-2701 (0.67), XD-2676 (0.63), XD-1566 (0.62), XD-1624 (0.59), XD-2725 (0.59), XD-3467 (0.58), XD-2716 (0.58), XD-876 (0.57), XD-2973 (0.57)","[{""issue_key"": ""XD-2480"", ""story_points"": 5, ""similarity"": 0.6784, ""title"": ""Benchmark: Sqoop vs. jdbchdfs""}, {""issue_key"": ""XD-2701"", ""story_points"": 8, ""similarity"": 0.6654, ""title"": ""Create Spark MLLib example""}, {""issue_key"": ""XD-2676"", ""story_points"": 8, ""similarity"": 0.6295, ""title"": ""Resolve classloading issues for custom Hadoop based batch jobs""}, {""issue_key"": ""XD-1566"", ""story_points"": 3, ""similarity"": 0.6184, ""title"": ""Document append configuration, else jdbchdfs writes empty file to hdfs""}, {""issue_key"": ""XD-1624"", ""story_points"": 13, ""similarity"": 0.5923, ""title"": ""UI: The user should be able to view a graphical representation of the job""}, {""issue_key"": ""XD-2725"", ""story_points"": 3, ""similarity"": 0.59, ""title"": ""http does not report failure to bind to port""}, {""issue_key"": ""XD-3467"", ""story_points"": 3, ""similarity"": 0.5839, ""title"": ""Spike: Study scope to add support for hdfs commands in shell""}, {""issue_key"": ""XD-2716"", ""story_points"": 8, ""similarity"": 0.579, ""title"": ""Create a Batch example to demonstrate JDBC->HDFS""}, {""issue_key"": ""XD-876"", ""story_points"": 1, ""similarity"": 0.5678, ""title"": ""Create FsShell based module to copy a File to HDFS""}, {""issue_key"": ""XD-2973"", ""story_points"": 3, ""similarity"": 0.5665, ""title"": ""Run the sqoop job against secured cluster""}]",,,,,
DM-2253,add third-party package builds for ngmix dependencies,"In addition to numpy and scipy, ngmix depends on the emcee and statsmodel packages.  While it can build without them, we probably want the full functionality.  I also see some undeclared dependencies on the """"""""esutil"""""""" and """"""""fitsio"""""""" packages (all from esheldon's GitHub), and there may be a few more dependencies on some of his own packages.    This issue includes creating a third-party build for ngmix itself.",5,"The current ticket focuses on setting up third-party builds for ngmix dependencies (numpy, scipy, emcee, statsmodel) and potentially additional esheldon packages, similar to DM-7327 which addressed Python compatibility for ngmix but with a narrower focus. The higher complexity here comes from managing multiple external package builds rather than just fixing one dependency or adding documentation. Since the scope involves configuring and integrating several dependencies beyond what was handled in past tickets like DM-6127 (license handling) or DM-5448 (familiarization), the estimate is moderate but not trivial.","DM-7327 (0.69), DM-6127 (0.63), DM-6724 (0.60), DM-6788 (0.54), DM-5448 (0.54), DM-9804 (0.53), DM-5432 (0.53), DM-16268 (0.51), DM-5867 (0.51), DM-6719 (0.50)","[{""issue_key"": ""DM-7327"", ""story_points"": 1, ""similarity"": 0.6914, ""title"": ""Check ngmix works on Python 3""}, {""issue_key"": ""DM-6127"", ""story_points"": 1, ""similarity"": 0.6311, ""title"": ""ngmix has no license""}, {""issue_key"": ""DM-6724"", ""story_points"": 1, ""similarity"": 0.6014, ""title"": ""Ship ngmix with license""}, {""issue_key"": ""DM-6788"", ""story_points"": 2, ""similarity"": 0.5397, ""title"": ""Document meas_extensions_ngmix""}, {""issue_key"": ""DM-5448"", ""story_points"": 3, ""similarity"": 0.5375, ""title"": ""Familiarization with ngmix codebase""}, {""issue_key"": ""DM-9804"", ""story_points"": 2, ""similarity"": 0.5308, ""title"": ""Port meas_extensions_ngmix to new pybind11 interface""}, {""issue_key"": ""DM-5432"", ""story_points"": 13, ""similarity"": 0.5274, ""title"": ""Add SFM plugin for ngmix fitting""}, {""issue_key"": ""DM-16268"", ""story_points"": 8, ""similarity"": 0.5082, ""title"": ""Rewrite meas_extensions_ngmix for better functionality and upstream collaboration""}, {""issue_key"": ""DM-5867"", ""story_points"": 1, ""similarity"": 0.5063, ""title"": ""ngmix is a TaP package""}, {""issue_key"": ""DM-6719"", ""story_points"": 1, ""similarity"": 0.5048, ""title"": ""meas_extensions_ngmix has no SConstruct""}]",,,,,
